ik,n,t,eps,lam_1s,E0eff_1s,lam
15,5,0.451613,0.5949919579,0.0009364175769878064,0.3932718291714038,0.0009364175769878064
15,6,0.451613,0.6285615637,0.0008315443018287744,0.386271734987641,0.0008315443018287744
15,7,0.451613,0.7327677803,0.0005672117469567243,0.3526981747874329,0.0005672117469567243
15,8,0.451613,0.8288606018,0.0004283040085941673,0.33128708223017783,0.0004283040085941673
16,1,0.483871,-0.0515829608,0.00958330939217395,0.6013049223022228,0.00958330939217395
16,2,0.483871,0.3507947506,0.001983943945778061,0.4575817276626055,0.001983943945778061
16,3,0.483871,0.4468489917,0.0010258420483044638,0.39187149389962406,0.0010258420483044638
16,4,0.483871,0.491302883,0.000910432924763786,0.383482887407417,0.000910432924763786
16,5,0.483871,0.587319155,0.0009611391221038871,0.39545412401653274,0.0009611391221038871
16,6,0.483871,0.6278392218,0.0008470227134410111,0.38833631672223623,0.0008470227134410111
16,7,0.483871,0.7368265114,0.0005542554786520897,0.3507592053488719,0.0005542554786520897
16,8,0.483871,0.8394482013,0.0004209178796803762,0.33046996223721015,0.0004209178796803762
17,1,0.516129,-0.0461709283,0.009335201229463953,0.5987291334791286,0.009335201229463953
17,2,0.516129,0.3333548072,0.002140930607030469,0.4646069833360493,0.002140930607030469
17,3,0.516129,0.4405610943,0.0010532367257504688,0.3941496567705113,0.0010532367257504688
17,4,0.516129,0.4867990547,0.0009365066162864668,0.38612661156957623,0.0009365066162864668
17,5,0.516129,0.5801030766,0.0009849919206072963,0.39751292119274806,0.0009849919206072963
17,6,0.516129,0.6275581767,0.0008629522072705853,0.390441434578364,0.0008629522072705853
17,7,0.516129,0.7415694395,0.0005405977836569825,0.3486876502028599,0.0005405977836569825
17,8,0.516129,0.8502196861,0.0004148549062973473,0.3299568763236877,0.0004148549062973473
18,1,0.548387,-0.0404303829,0.009078427670538689,0.5959866056590641,0.009078427670538689
18,2,0.548387,0.3161966924,0.0023056012613096853,0.47145664512781843,0.0023056012613096853
18,3,0.548387,0.4346154298,0.0010794343545256159,0.396269162567109,0.0010794343545256159
18,4,0.548387,0.4824287469,0.0009616896685736628,0.388601217459672,0.0009616896685736628
18,5,0.548387,0.5733461461,0.001007822073220898,0.3994386339637107,0.001007822073220898
18,6,0.548387,0.6276528879,0.0008791230761421317,0.39255203290048585,0.0008791230761421317
