r_bohr,u_c,V_H_c
0.90800,8.60038615e-06,1.10132159e+00
0.91000,8.31846015e-06,1.09890110e+00
0.91200,8.04575784e-06,1.09649123e+00
0.91400,7.78197814e-06,1.09409190e+00
0.91600,7.52682979e-06,1.09170306e+00
0.91800,7.28003098e-06,1.08932462e+00
0.92000,7.04130911e-06,1.08695652e+00
0.92200,6.81040042e-06,1.08459870e+00
0.92400,6.58704977e-06,1.08225108e+00
0.92600,6.37101032e-06,1.07991361e+00
0.92800,6.16204327e-06,1.07758621e+00
0.93000,5.95991759e-06,1.07526882e+00
0.93200,5.76440980e-06,1.07296137e+00
0.93400,5.57530368e-06,1.07066381e+00
0.93600,5.39239007e-06,1.06837607e+00
0.93800,5.21546661e-06,1.06609808e+00
0.94000,5.04433756e-06,1.06382979e+00
0.94200,4.87881354e-06,1.06157113e+00
0.94400,4.71871135e-06,1.05932203e+00
0.94600,4.56385377e-06,1.05708245e+00
0.94800,4.41406935e-06,1.05485232e+00
0.95000,4.26919224e-06,1.05263158e+00
0.95200,4.12906198e-06,1.05042017e+00
0.95400,3.99352337e-06,1.04821803e+00
0.95600,3.86242626e-06,1.04602510e+00
0.95800,3.73562539e-06,1.04384134e+00
0.96000,3.61298024e-06,1.04166667e+00
0.96200,3.49435490e-06,1.03950104e+00
0.96400,3.37961787e-06,1.03734440e+00
0.96600,3.26864194e-06,1.03519669e+00
0.96800,3.16130407e-06,1.03305785e+00
0.97000,3.05748523e-06,1.03092784e+00
0.97200,2.95707026e-06,1.02880658e+00
0.97400,2.85994778e-06,1.02669405e+00
0.97600,2.76601005e-06,1.02459016e+00
0.97800,2.67515281e-06,1.02249489e+00
0.98000,2.58727525e-06,1.02040816e+00
0.98200,2.50227983e-06,1.01832994e+00
0.98400,2.42007220e-06,1.01626016e+00
0.98600,2.34056110e-06,1.01419878e+00
0.98800,2.26365822e-06,1.01214575e+00
0.99000,2.18927818e-06,1.01010101e+00
0.99200,2.11733836e-06,1.00806452e+00
0.99400,2.04775884e-06,1.00603622e+00
0.99600,1.98046233e-06,1.00401606e+00
0.99800,1.91537405e-06,1.00200401e+00
1.00000,1.85242167e-06,1.00000000e+00
1.00200,1.79153522e-06,9.98003992e-01
1.00400,1.73264703e-06,9.96015936e-01
1.00600,1.67569162e-06,9.94035785e-01
1.00800,1.62060567e-06,9.92063492e-01
1.01000,1.56732793e-06,9.90099010e-01
1.01200,1.51579914e-06,9.88142292e-01
1.01400,1.46596198e-06,9.86193294e-01
1.01600,1.41776102e-06,9.84251969e-01
1.01800,1.37114263e-06,9.82318271e-01
1.02000,1.32605494e-06,9.80392157e-01
1.02200,1.28244776e-06,9.78473581e-01
1.02400,1.24027258e-06,9.76562500e-01
1.02600,1.19948242e-06,9.74658869e-01
1.02800,1.16003190e-06,9.72762646e-01
1.03000,1.12187709e-06,9.70873786e-01
1.03200,1.08497549e-06,9.68992248e-01
1.03400,1.04928601e-06,9.67117988e-01
1.03600,1.01476890e-06,9.65250965e-01
1.03800,9.81385712e-07,9.63391137e-01
1.04000,9.49099252e-07,9.61538462e-01
1.04200,9.17873547e-07,9.59692898e-01
1.04400,8.87673801e-07,9.57854406e-01
1.04600,8.58466357e-07,9.56022945e-01
1.04800,8.30218661e-07,9.54198473e-01
1.05000,8.02899224e-07,9.52380952e-01
